variety,colour
macabeo-chardonnay,white
tempranillo-malbec,red
tamjanika,white
trousseau,red
bacchus,white
syrah-malbec,red
syrah-cabernet franc,red
macabeo-moscatel,white
cariñena-garnacha,red
plyto,white
códega do larinho,white
sideritis,white
çalkarası,red
azal,red
moscatel graúdo,white
viosinho,white
moschofilero-chardonnay,white
paralleda,white
rara neagra,red
malvasia di candia,red
maria gomes,white
molinara,red
malvar,white
airen,white
erbaluce,white
muscat of alexandria,white
verdosilla,white
abouriou,red
pinot noir-syrah,red
nielluciu,red
malbec-bonarda,red
vespaiolo,white
malbec-carménère,red
biancolella,white
sauvignon blanc-verdejo,white
aidani,white
garnacha-monastrell,red
vinhão,red
souzao,red
roter traminer,white
moscatel de alejandría,white
rolle,white
tinta francisca,red
malvasia nera,red
orangetraube,white
riesling-chardonnay,white
žilavka,white
portuguiser,red
listán negro,red
pinotage-merlot,red
muscadine,white
maria gomes-bical,white
grolleau,red
zlahtina,white
syrah-grenache-viognier,red
jacquez,red
gouveio,white
canaiolo,red
carignan-syrah,red
bombino nero,red
chardonnay-riesling,white
malagouzia-chardonnay,white
mavrotragano,red
bovale,red
frankovka,red
shiraz-roussanne,red
cabernet-shiraz,red
syrah-carignan,red
elbling,white
gragnano,red
garnacha blend,red
pinot blanc-chardonnay,red
schwartzriesling,white
petit meslier,white
bastardo,red
vidadillo,red
misket,white
chardonnay weissburgunder,white
other,red
robola,white
merlot-shiraz,red
malagouzia,white
folle blanche,white
malbec blend,red
merlot-syrah,red
tamianka,white
cabernet pfeffer,red
morio muskat,white
rabigato,white
babić,red
roviello,white
yapincak,white
sauvignonasse,white
viognier-marsanne,white
mandilaria,red
meseguera,white
alvarinho-chardonnay,white
saperavi-merlot,red
pinot blanc-viognier,red
teroldego rotaliano,red
biancu gentile,white
garnacha-tempranillo,red
xinisteri,white
sauvignon blanc-sauvignon gris,white
trebbiano di lugana,white
albarossa,red
ryzlink rýnský,white
verdeca,white
cabernet sauvignon grenache,red
tămâioasă românească,white
black monukka,red
merlot-grenache,red
vranac,red
tempranillo-syrah,red
chardonel,white
silvaner-traminer,white
uvalino,red
merseguera-sauvignon blanc,white
cabernet-malbec,red
boğazkere,red
gelber traminer,white
vermentino nero,red
cayuga,white
tinta amarela,red
tinta negra mole,red
moscato rosa,white
chelois,red
sauvignon blanc-assyrtiko,white
petite syrah,red
muscadel,white
shiraz-tempranillo,red
roussanne-grenache blanc,white
biancale,white
ansonica,white
syrah-bonarda,red
durif,red
franconia,red
malbec-tempranillo,red
nasco,white
monastrell-petit verdot,red
sirica,red
